date,value,park_name,facility,variable
2022-06-01,9,Groveland Oaks,campground,campers
2022-06-01,10,Addison Oaks,campground,campers
2022-06-01,108,Groveland Oaks,campground,revenue
2022-06-01,80,Addison Oaks,campground,revenue
2022-06-01,1184,Springfield Oaks,golf,revenue
2022-06-01,1248,Glen Oaks,golf,revenue
2022-06-01,37,Springfield Oaks,golf,rounds played
2022-06-01,32,Glen Oaks,golf,rounds played
2022-06-01,402,Red Oaks,waterpark,revenue
2022-06-01,852,Waterford Oaks,waterpark,revenue
2022-06-01,134,Red Oaks,waterpark,visitors
2022-06-01,213,Waterford Oaks,waterpark,visitors
2022-06-02,13,Groveland Oaks,campground,campers
2022-06-02,11,Addison Oaks,campground,campers
2022-06-02,169,Groveland Oaks,campground,revenue
2022-06-02,110,Addison Oaks,campground,revenue
2022-06-02,1485,Springfield Oaks,golf,revenue
2022-06-02,1344,Glen Oaks,golf,revenue
2022-06-02,45,Springfield Oaks,golf,rounds played
2022-06-02,42,Glen Oaks,golf,rounds played
2022-06-02,1148,Red Oaks,waterpark,revenue
2022-06-02,1316,Waterford Oaks,waterpark,revenue
2022-06-02,287,Red Oaks,waterpark,visitors
2022-06-02,329,Waterford Oaks,waterpark,visitors
2022-06-03,11,Groveland Oaks,campground,campers
2022-06-03,5,Addison Oaks,campground,campers
2022-06-03,143,Groveland Oaks,campground,revenue
2022-06-03,50,Addison Oaks,campground,revenue
2022-06-03,880,Springfield Oaks,golf,revenue
2022-06-03,962,Glen Oaks,golf,revenue
2022-06-03,22,Springfield Oaks,golf,rounds played
2022-06-03,26,Glen Oaks,golf,rounds played
2022-06-03,680,Red Oaks,waterpark,revenue
2022-06-03,534,Waterford Oaks,waterpark,revenue
2022-06-03,170,Red Oaks,waterpark,visitors
2022-06-03,178,Waterford Oaks,waterpark,visitors
2022-06-04,8,Groveland Oaks,campground,campers
2022-06-04,10,Addison Oaks,campground,campers
2022-06-04,88,Groveland Oaks,campground,revenue
2022-06-04,100,Addison Oaks,campground,revenue
2022-06-04,782,Springfield Oaks,golf,revenue
2022-06-04,1050,Glen Oaks,golf,revenue
2022-06-04,23,Springfield Oaks,golf,rounds played
2022-06-04,30,Glen Oaks,golf,rounds played
2022-06-04,315,Red Oaks,waterpark,revenue
2022-06-04,820,Waterford Oaks,waterpark,revenue
2022-06-04,105,Red Oaks,waterpark,visitors
2022-06-04,164,Waterford Oaks,waterpark,visitors
2022-06-05,13,Groveland Oaks,campground,campers
2022-06-05,17,Addison Oaks,campground,campers
2022-06-05,169,Groveland Oaks,campground,revenue
2022-06-05,204,Addison Oaks,campground,revenue
2022-06-05,1794,Springfield Oaks,golf,revenue
2022-06-05,1376,Glen Oaks,golf,revenue
2022-06-05,46,Springfield Oaks,golf,rounds played
2022-06-05,43,Glen Oaks,golf,rounds played
2022-06-05,1140,Red Oaks,waterpark,revenue
2022-06-05,1156,Waterford Oaks,waterpark,revenue
2022-06-05,380,Red Oaks,waterpark,visitors
2022-06-05,289,Waterford Oaks,waterpark,visitors
2022-06-06,15,Groveland Oaks,campground,campers
2022-06-06,6,Addison Oaks,campground,campers
2022-06-06,180,Groveland Oaks,campground,revenue
2022-06-06,72,Addison Oaks,campground,revenue
2022-06-06,600,Springfield Oaks,golf,revenue
2022-06-06,1020,Glen Oaks,golf,revenue
2022-06-06,20,Springfield Oaks,golf,rounds played
2022-06-06,34,Glen Oaks,golf,rounds played
2022-06-06,768,Red Oaks,waterpark,revenue
2022-06-06,780,Waterford Oaks,waterpark,revenue
2022-06-06,256,Red Oaks,waterpark,visitors
2022-06-06,260,Waterford Oaks,waterpark,visitors
2022-06-07,10,Groveland Oaks,campground,campers
2022-06-07,9,Addison Oaks,campground,campers
2022-06-07,150,Groveland Oaks,campground,revenue
2022-06-07,72,Addison Oaks,campground,revenue
2022-06-07,1116,Springfield Oaks,golf,revenue
2022-06-07,957,Glen Oaks,golf,revenue
2022-06-07,36,Springfield Oaks,golf,rounds played
2022-06-07,29,Glen Oaks,golf,rounds played
2022-06-07,876,Red Oaks,waterpark,revenue
2022-06-07,968,Waterford Oaks,waterpark,revenue
2022-06-07,219,Red Oaks,waterpark,visitors
2022-06-07,242,Waterford Oaks,waterpark,visitors
2022-06-08,11,Groveland Oaks,campground,campers
2022-06-08,18,Addison Oaks,campground,campers
2022-06-08,121,Groveland Oaks,campground,revenue
2022-06-08,216,Addison Oaks,campground,revenue
2022-06-08,1320,Springfield Oaks,golf,revenue
2022-06-08,1760,Glen Oaks,golf,revenue
2022-06-08,33,Springfield Oaks,golf,rounds played
2022-06-08,44,Glen Oaks,golf,rounds played
2022-06-08,2000,Red Oaks,waterpark,revenue
2022-06-08,771,Waterford Oaks,waterpark,revenue
2022-06-08,400,Red Oaks,waterpark,visitors
2022-06-08,257,Waterford Oaks,waterpark,visitors
2022-06-09,13,Groveland Oaks,campground,campers
2022-06-09,7,Addison Oaks,campground,campers
2022-06-09,182,Groveland Oaks,campground,revenue
2022-06-09,63,Addison Oaks,campground,revenue
2022-06-09,704,Springfield Oaks,golf,revenue
2022-06-09,1040,Glen Oaks,golf,revenue
2022-06-09,22,Springfield Oaks,golf,rounds played
2022-06-09,26,Glen Oaks,golf,rounds played
2022-06-09,504,Red Oaks,waterpark,revenue
2022-06-09,408,Waterford Oaks,waterpark,revenue
2022-06-09,126,Red Oaks,waterpark,visitors
2022-06-09,136,Waterford Oaks,waterpark,visitors
2022-06-10,9,Groveland Oaks,campground,campers
2022-06-10,11,Addison Oaks,campground,campers
2022-06-10,135,Groveland Oaks,campground,revenue
2022-06-10,121,Addison Oaks,campground,revenue
2022-06-10,1120,Springfield Oaks,golf,revenue
2022-06-10,1287,Glen Oaks,golf,revenue
2022-06-10,35,Springfield Oaks,golf,rounds played
2022-06-10,39,Glen Oaks,golf,rounds played
2022-06-10,448,Red Oaks,waterpark,revenue
2022-06-10,1072,Waterford Oaks,waterpark,revenue
2022-06-10,112,Red Oaks,waterpark,visitors
2022-06-10,268,Waterford Oaks,waterpark,visitors
2022-06-11,13,Groveland Oaks,campground,campers
2022-06-11,14,Addison Oaks,campground,campers
2022-06-11,195,Groveland Oaks,campground,revenue
2022-06-11,112,Addison Oaks,campground,revenue
2022-06-11,1287,Springfield Oaks,golf,revenue
2022-06-11,920,Glen Oaks,golf,revenue
2022-06-11,33,Springfield Oaks,golf,rounds played
2022-06-11,23,Glen Oaks,golf,rounds played
2022-06-11,633,Red Oaks,waterpark,revenue
2022-06-11,363,Waterford Oaks,waterpark,revenue
2022-06-11,211,Red Oaks,waterpark,visitors
2022-06-11,121,Waterford Oaks,waterpark,visitors
2022-06-12,8,Groveland Oaks,campground,campers
2022-06-12,6,Addison Oaks,campground,campers
2022-06-12,88,Groveland Oaks,campground,revenue
2022-06-12,54,Addison Oaks,campground,revenue
2022-06-12,748,Springfield Oaks,golf,revenue
2022-06-12,740,Glen Oaks,golf,revenue
2022-06-12,22,Springfield Oaks,golf,rounds played
2022-06-12,20,Glen Oaks,golf,rounds played
2022-06-12,895,Red Oaks,waterpark,revenue
2022-06-12,630,Waterford Oaks,waterpark,revenue
2022-06-12,179,Red Oaks,waterpark,visitors
2022-06-12,126,Waterford Oaks,waterpark,visitors
2022-06-13,13,Groveland Oaks,campground,campers
2022-06-13,17,Addison Oaks,campground,campers
2022-06-13,169,Groveland Oaks,campground,revenue
2022-06-13,204,Addison Oaks,campground,revenue
2022-06-13,1155,Springfield Oaks,golf,revenue
2022-06-13,1786,Glen Oaks,golf,revenue
2022-06-13,33,Springfield Oaks,golf,rounds played
2022-06-13,47,Glen Oaks,golf,rounds played
2022-06-13,981,Red Oaks,waterpark,revenue
2022-06-13,1256,Waterford Oaks,waterpark,revenue
2022-06-13,327,Red Oaks,waterpark,visitors
2022-06-13,314,Waterford Oaks,waterpark,visitors
2022-06-14,17,Groveland Oaks,campground,campers
2022-06-14,11,Addison Oaks,campground,campers
2022-06-14,238,Groveland Oaks,campground,revenue
2022-06-14,99,Addison Oaks,campground,revenue
2022-06-14,1216,Springfield Oaks,golf,revenue
